"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","auditd.log.AUID","auditd.log.EGID","auditd.log.EUID","auditd.log.FSGID","auditd.log.FSUID","auditd.log.GID","auditd.log.OGID","auditd.log.SGID","auditd.log.SUID","auditd.log.SYSCALL","auditd.log.UID","auditd.log.a0","auditd.log.a1","auditd.log.a2","auditd.log.a3","auditd.log.arch","auditd.log.cap_fe","auditd.log.cap_fi","auditd.log.cap_fp","auditd.log.cap_frootid","auditd.log.cap_fver","auditd.log.dev","auditd.log.epoch","auditd.log.inode","auditd.log.item","auditd.log.items","auditd.log.key","auditd.log.kv","auditd.log.laddr","auditd.log.lport","auditd.log.mode","auditd.log.name","auditd.log.nametype","auditd.log.proctitle","auditd.log.rdev","auditd.log.record_type","auditd.log.saddr","auditd.log.saddr_fam","auditd.log.sequence","auditd.log.ses","auditd.log.subj_apparmor","auditd.log.success","auditd.log.syscall","auditd.log.tty","ecs.version","error.message","event.action","event.category","event.dataset","event.ingested","event.kind","event.module","event.original","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,"network.direction","process.executable","process.executable.text","process.exit_code","process.name","process.name.text","process.parent.pid","process.pid","service.type","user.audit.id","user.effective.group.id","user.effective.id","user.filesystem.group.id","user.filesystem.id","user.group.id","user.id","user.owner.group.id","user.owner.id","user.saved.group.id","user.saved.id"
"Oct 24, 2022 @ 23:22:50.440",mNaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,507","-",unconfined,"-","-","-","-","1.12.0","-","unknown[1420]","-","auditd.log","Oct 24, 2022 @ 23:22:53.423",event,auditd,"type=UNKNOWN[1420] msg=audit(1666624970.440:285507): subj_apparmor=unconfined","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,049,971","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",mdaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",unset,"www-data","www-data","www-data","www-data","www-data","-","www-data","www-data",socket,"www-data",2,1,0,7ffc616cce60,"x86_64","-","-","-","-","-","-","-","-","-","-","-",0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,508",4294967295,"-",yes,41,"(none)","-","1.12.0","-",syscall,process,"auditd.log","Oct 24, 2022 @ 23:22:53.423",event,auditd,"type=SYSCALL msg=audit(1666624970.440:285508): arch=c000003e syscall=41 success=yes exit=11 a0=2 a1=1 a2=0 a3=7ffc616cce60 items=0 ppid=238862 pid=255812 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=(none) ses=4294967295 comm=""apache2"" exe=""/usr/sbin/apache2"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""www-data"" GID=""www-data"" EUID=""www-data"" SUID=""www-data"" FSUID=""www-data"" EGID=""www-data"" SGID=""www-data"" FSGID=""www-data""","-",info,log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,050,049","-","-","/usr/sbin/apache2","/usr/sbin/apache2",11,apache2,apache2,"238,862","255,812",auditd,4294967295,33,33,"-","-",33,33,33,33,"-","-","-","-",33,33,"-"
"Oct 24, 2022 @ 23:22:50.440",mtaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","apache2^@-DFOREGROUND","-","-","-","-","285,508","-","-","-","-","-","-","1.12.0","-",proctitle,"-","auditd.log","Oct 24, 2022 @ 23:22:53.424",event,auditd,"type=PROCTITLE msg=audit(1666624970.440:285508): proctitle=61706163686532002D44464F524547524F554E44","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,050,574","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",m9aWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,508","-",unconfined,"-","-","-","-","1.12.0","-","unknown[1420]","-","auditd.log","Oct 24, 2022 @ 23:22:53.424",event,auditd,"type=UNKNOWN[1420] msg=audit(1666624970.440:285508): subj_apparmor=unconfined","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,050,674","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",nNaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",unset,"www-data","www-data","www-data","www-data","www-data","-","www-data","www-data",socket,"www-data",2,80802,0,1,"x86_64","-","-","-","-","-","-","-","-","-","-","-",0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,509",4294967295,"-",yes,41,"(none)","-","1.12.0","-",syscall,process,"auditd.log","Oct 24, 2022 @ 23:22:53.424",event,auditd,"type=SYSCALL msg=audit(1666624970.440:285509): arch=c000003e syscall=41 success=yes exit=12 a0=2 a1=80802 a2=0 a3=1 items=0 ppid=238862 pid=255812 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=(none) ses=4294967295 comm=""apache2"" exe=""/usr/sbin/apache2"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""www-data"" GID=""www-data"" EUID=""www-data"" SUID=""www-data"" FSUID=""www-data"" EGID=""www-data"" SGID=""www-data"" FSGID=""www-data""","-",info,log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,050,752","-","-","/usr/sbin/apache2","/usr/sbin/apache2",12,apache2,apache2,"238,862","255,812",auditd,4294967295,33,33,"-","-",33,33,33,33,"-","-","-","-",33,33,"-"
"Oct 24, 2022 @ 23:22:50.440",ndaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","apache2^@-DFOREGROUND","-","-","-","-","285,509","-","-","-","-","-","-","1.12.0","-",proctitle,"-","auditd.log","Oct 24, 2022 @ 23:22:53.424",event,auditd,"type=PROCTITLE msg=audit(1666624970.440:285509): proctitle=61706163686532002D44464F524547524F554E44","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,051,270","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",ntaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,509","-",unconfined,"-","-","-","-","1.12.0","-","unknown[1420]","-","auditd.log","Oct 24, 2022 @ 23:22:53.424",event,auditd,"type=UNKNOWN[1420] msg=audit(1666624970.440:285509): subj_apparmor=unconfined","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,051,370","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",n9aWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",unset,"www-data","www-data","www-data","www-data","www-data","-","www-data","www-data",connect,"www-data",c,7f72c2aefc54,10,7ffc616ca9e4,"x86_64","-","-","-","-","-","-","-","-","-","-","-",0,"network_connect_4""ARCH=x86_64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,510",4294967295,"-",yes,42,"(none)","-","1.12.0","-",syscall,process,"auditd.log","Oct 24, 2022 @ 23:22:53.425",event,auditd,"type=SYSCALL msg=audit(1666624970.440:285510): arch=c000003e syscall=42 success=yes exit=0 a0=c a1=7f72c2aefc54 a2=10 a3=7ffc616ca9e4 items=0 ppid=238862 pid=255812 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=(none) ses=4294967295 comm=""apache2"" exe=""/usr/sbin/apache2"" subj=? key=""network_connect_4""ARCH=x86_64 SYSCALL=connect AUID=""unset"" UID=""www-data"" GID=""www-data"" EUID=""www-data"" SUID=""www-data"" FSUID=""www-data"" EGID=""www-data"" SGID=""www-data"" FSGID=""www-data""","-",info,log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,051,448","-",egress,"/usr/sbin/apache2","/usr/sbin/apache2",0,apache2,apache2,"238,862","255,812",auditd,4294967295,33,33,"-","-",33,33,33,33,"-","-","-","-",33,33,"-"
"Oct 24, 2022 @ 23:22:50.440",odaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","apache2^@-DFOREGROUND","-","-","-","-","285,510","-","-","-","-","-","-","1.12.0","-",proctitle,"-","auditd.log","Oct 24, 2022 @ 23:22:53.425",event,auditd,"type=PROCTITLE msg=audit(1666624970.440:285510): proctitle=61706163686532002D44464F524547524F554E44","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,052,096","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",otaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,510","-",unconfined,"-","-","-","-","1.12.0","-","unknown[1420]","-","auditd.log","Oct 24, 2022 @ 23:22:53.425",event,auditd,"type=UNKNOWN[1420] msg=audit(1666624970.440:285510): subj_apparmor=unconfined","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,052,196","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",o9aWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",unset,"www-data","www-data","www-data","www-data","www-data","-","www-data","www-data",socket,"www-data",2,1,0,7ffc616ccba0,"x86_64","-","-","-","-","-","-","-","-","-","-","-",0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,511",4294967295,"-",yes,41,"(none)","-","1.12.0","-",syscall,process,"auditd.log","Oct 24, 2022 @ 23:22:53.425",event,auditd,"type=SYSCALL msg=audit(1666624970.440:285511): arch=c000003e syscall=41 success=yes exit=12 a0=2 a1=1 a2=0 a3=7ffc616ccba0 items=0 ppid=238862 pid=255812 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=(none) ses=4294967295 comm=""apache2"" exe=""/usr/sbin/apache2"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""www-data"" GID=""www-data"" EUID=""www-data"" SUID=""www-data"" FSUID=""www-data"" EGID=""www-data"" SGID=""www-data"" FSGID=""www-data""","-",info,log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,052,274","-","-","/usr/sbin/apache2","/usr/sbin/apache2",12,apache2,apache2,"238,862","255,812",auditd,4294967295,33,33,"-","-",33,33,33,33,"-","-","-","-",33,33,"-"
"Oct 24, 2022 @ 23:22:50.440",pNaWCoQBDsc6tFfS6t6C,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","apache2^@-DFOREGROUND","-","-","-","-","285,511","-","-","-","-","-","-","1.12.0","-",proctitle,"-","auditd.log","Oct 24, 2022 @ 23:22:53.432",event,auditd,"type=PROCTITLE msg=audit(1666624970.440:285511): proctitle=61706163686532002D44464F524547524F554E44","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,052,799","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.440",pdaWCoQBDsc6tFfS6t6C,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,511","-",unconfined,"-","-","-","-","1.12.0","-","unknown[1420]","-","auditd.log","Oct 24, 2022 @ 23:22:53.432",event,auditd,"type=UNKNOWN[1420] msg=audit(1666624970.440:285511): subj_apparmor=unconfined","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,052,899","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.436",hNaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",unset,root,root,root,root,root,"-",root,root,socket,root,2,80802,0,235c5d0,"x86_64","-","-","-","-","-","-","-","-","-","-","-",0,"T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,502",4294967295,"-",yes,41,"(none)","-","1.12.0","-",syscall,process,"auditd.log","Oct 24, 2022 @ 23:22:53.419",event,auditd,"type=SYSCALL msg=audit(1666624970.436:285502): arch=c000003e syscall=41 success=yes exit=3 a0=2 a1=80802 a2=0 a3=235c5d0 items=0 ppid=180070 pid=180112 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""python3"" exe=""/usr/bin/python3.8"" subj=? key=""T1011_Exfiltration_Over_Other_Network_Medium""ARCH=x86_64 SYSCALL=socket AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","-",info,log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,045,702","-","-","/usr/bin/python3.8","/usr/bin/python3.8",3,python3,python3,"180,070","180,112",auditd,4294967295,0,0,"-","-",0,0,0,0,"-","-","-","-",0,0,"-"
"Oct 24, 2022 @ 23:22:50.436",hdaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","runc^@init","-","-","-","-","285,502","-","-","-","-","-","-","1.12.0","-",proctitle,"-","auditd.log","Oct 24, 2022 @ 23:22:53.419",event,auditd,"type=PROCTITLE msg=audit(1666624970.436:285502): proctitle=72756E6300696E6974","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,046,186","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.436",htaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,502","-","docker-default","-","-","-","-","1.12.0","-","unknown[1420]","-","auditd.log","Oct 24, 2022 @ 23:22:53.420",event,auditd,"type=UNKNOWN[1420] msg=audit(1666624970.436:285502): subj_apparmor=docker-default","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,046,264","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 24, 2022 @ 23:22:50.436",h9aWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3",unset,root,root,root,root,root,"-",root,root,connect,root,3,7fe6985237f4,10,7ffc7c31b414,"x86_64","-","-","-","-","-","-","-","-","-","-","-",0,"network_connect_4""ARCH=x86_64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","285,503",4294967295,"-",yes,42,"(none)","-","1.12.0","-",syscall,process,"auditd.log","Oct 24, 2022 @ 23:22:53.420",event,auditd,"type=SYSCALL msg=audit(1666624970.436:285503): arch=c000003e syscall=42 success=yes exit=0 a0=3 a1=7fe6985237f4 a2=10 a3=7ffc7c31b414 items=0 ppid=180070 pid=180112 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""python3"" exe=""/usr/bin/python3.8"" subj=? key=""network_connect_4""ARCH=x86_64 SYSCALL=connect AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","-",info,log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,046,346","-",egress,"/usr/bin/python3.8","/usr/bin/python3.8",0,python3,python3,"180,070","180,112",auditd,4294967295,0,0,"-","-",0,0,0,0,"-","-","-","-",0,0,"-"
"Oct 24, 2022 @ 23:22:50.436",idaWCoQBDsc6tFfS6t5y,".ds-filebeat-8.4.3-2022.10.24-000001","-","71df9d48-1d5b-48bc-9d0b-4c069d92c8ca","dvwa_web","8d42cf34-4f58-4413-b965-cf6afa6eb26b","dvwa_web",filebeat,"8.4.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","runc^@init","-","-","-","-","285,503","-","-","-","-","-","-","1.12.0","-",proctitle,"-","auditd.log","Oct 24, 2022 @ 23:22:53.420",event,auditd,"type=PROCTITLE msg=audit(1666624970.436:285503): proctitle=72756E6300696E6974","-","-",log,"x86_64",false,"dvwa_web",bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b","dvwa_web",bullseye,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"11 (bullseye)",log,"/var/log/audit/audit.log","2,046,955","-","-","-","-","-","-","-","-","-",auditd,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
