@timestamp,@version,@version.keyword,_id,_index,_score,agent.ephemeral_id,agent.ephemeral_id.keyword,agent.id,agent.id.keyword,agent.name,agent.name.keyword,agent.type,agent.type.keyword,agent.version,agent.version.keyword,dissect.commandslog.command,dissect.commandslog.command.keyword,dissect.commandslog.date,dissect.commandslog.date.keyword,dissect.commandslog.host-name,dissect.commandslog.host-name.keyword,dissect.commandslog.month,dissect.commandslog.month.keyword,dissect.commandslog.responsecode,dissect.commandslog.responsecode.keyword,dissect.commandslog.time,dissect.commandslog.time.keyword,dissect.commandslog.user,dissect.commandslog.user-hostaddress,dissect.commandslog.user-hostaddress.keyword,dissect.commandslog.user.keyword,dissect.commandslog.userid,dissect.commandslog.userid.keyword,ecs.version,ecs.version.keyword,event.original,event.original.keyword,host.architecture,host.architecture.keyword,host.containerized,host.hostname,host.hostname.keyword,host.id,host.id.keyword,host.ip,host.ip.keyword,host.mac,host.mac.keyword,host.name,host.name.keyword,host.os.codename,host.os.codename.keyword,host.os.family,host.os.family.keyword,host.os.kernel,host.os.kernel.keyword,host.os.name,host.os.name.keyword,host.os.platform,host.os.platform.keyword,host.os.type,host.os.type.keyword,host.os.version,host.os.version.keyword,input.type,input.type.keyword,log.file.path,log.file.path.keyword,log.offset,message,message.keyword,tags,tags.keyword
"Oct 24, 2022 @ 13:29:12.885",1,1,PSR3CIQBIFje4a_CaIoQ,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,cat,cat,24,24,webserver,webserver,Oct,Oct,wordpress_2022-10-24-05.sql [0],wordpress_2022-10-24-05.sql [0],05:29:05,05:29:05,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:29:05 webserver wpuser: wpuser@172.17.0.1 [219]: cat wordpress_2022-10-24-05.sql [0],Oct 24 05:29:05 webserver wpuser: wpuser@172.17.0.1 [219]: cat wordpress_2022-10-24-05.sql [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"10,424",Oct 24 05:29:05 webserver wpuser: wpuser@172.17.0.1 [219]: cat wordpress_2022-10-24-05.sql [0],Oct 24 05:29:05 webserver wpuser: wpuser@172.17.0.1 [219]: cat wordpress_2022-10-24-05.sql [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:28:57.879",1,1,VyR3CIQBIFje4a_CLYmK,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,ls,ls,24,24,webserver,webserver,Oct,Oct,[0],[0],05:28:52,05:28:52,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:28:52 webserver wpuser: wpuser@172.17.0.1 [219]: ls [0],Oct 24 05:28:52 webserver wpuser: wpuser@172.17.0.1 [219]: ls [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"10,358",Oct 24 05:28:52 webserver wpuser: wpuser@172.17.0.1 [219]: ls [0],Oct 24 05:28:52 webserver wpuser: wpuser@172.17.0.1 [219]: ls [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:28:42.876",1,1,YSR2CIQBIFje4a_C94jm,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,sdump.py [130],sdump.py [130],05:28:35,05:28:35,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:28:35 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [130],Oct 24 05:28:35 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [130],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"10,276",Oct 24 05:28:35 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [130],Oct 24 05:28:35 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [130],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:26:47.838",1,1,LCR1CIQBIFje4a_CMTKB,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,sdump.py [0],sdump.py [0],05:26:47,05:26:47,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:26:47 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [0],Oct 24 05:26:47 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"10,196",Oct 24 05:26:47 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [0],Oct 24 05:26:47 webserver wpuser: wpuser@172.17.0.1 [219]: python3 sdump.py [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:26:02.834",1,1,RSF0CIQBIFje4a_CgWWx,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],05:26:01,05:26:01,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:26:01 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],Oct 24 05:26:01 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"10,069",Oct 24 05:26:01 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],Oct 24 05:26:01 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -s 1024 -l 10000 -f [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:55.827",1,1,ISB0CIQBIFje4a_CZqxP,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],05:25:55,05:25:55,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:55 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],Oct 24 05:25:55 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,942",Oct 24 05:25:55 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],Oct 24 05:25:55 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -s 1024 -l 10000 -f [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:52.824",1,1,HSB0CIQBIFje4a_CWqyQ,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],05:25:49,05:25:49,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:49 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],Oct 24 05:25:49 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,824",Oct 24 05:25:49 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],Oct 24 05:25:49 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.22 -l 1024 -f [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:45.820",1,1,dSB0CIQBIFje4a_CP5M0,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],05:25:45,05:25:45,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:45 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],Oct 24 05:25:45 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,706",Oct 24 05:25:45 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],Oct 24 05:25:45 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m ps -ip 10.0.0.21 -l 1024 -f [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:42.819",1,1,cCB0CIQBIFje4a_CM5N4,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,network_scan.py -m p -n 10.0.0.0 -f [130],network_scan.py -m p -n 10.0.0.0 -f [130],05:25:40,05:25:40,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [130],Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [130],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,521",Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [130],Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [130],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:42.819",1,1,cSB0CIQBIFje4a_CM5N7,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,hostname,hostname,24,24,webserver,webserver,Oct,Oct,-i  [0],-i  [0],05:25:40,05:25:40,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: hostname -i  [0],Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: hostname -i  [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,630",Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: hostname -i  [0],Oct 24 05:25:40 webserver wpuser: wpuser@172.17.0.1 [219]: hostname -i  [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:35.816",1,1,3CB0CIQBIFje4a_CGJAd,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,cd,cd,24,24,webserver,webserver,Oct,Oct,/tmp/ [0],/tmp/ [0],05:25:32,05:25:32,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:32 webserver wpuser: wpuser@172.17.0.1 [219]: cd /tmp/ [0],Oct 24 05:25:32 webserver wpuser: wpuser@172.17.0.1 [219]: cd /tmp/ [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,449",Oct 24 05:25:32 webserver wpuser: wpuser@172.17.0.1 [219]: cd /tmp/ [0],Oct 24 05:25:32 webserver wpuser: wpuser@172.17.0.1 [219]: cd /tmp/ [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:28.812",1,1,hSBzCIQBIFje4a_C_JDC,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,network_scan.py -m p -n 10.0.0.0 -f [2],network_scan.py -m p -n 10.0.0.0 -f [2],05:25:24,05:25:24,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:24 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [2],Oct 24 05:25:24 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [2],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,342",Oct 24 05:25:24 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [2],Oct 24 05:25:24 webserver wpuser: wpuser@172.17.0.1 [219]: python3 network_scan.py -m p -n 10.0.0.0 -f [2],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 13:25:28.812",1,1,iCBzCIQBIFje4a_C_JDG,filebeat-2022.10.24,-,e56928eb-b6fa-4079-93cd-5410947777c2,e56928eb-b6fa-4079-93cd-5410947777c2,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,python3,python3,24,24,webserver,webserver,Oct,Oct,beacon.py [0],beacon.py [0],05:25:19,05:25:19,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[219]:,[219]:,8.0.0,8.0.0,Oct 24 05:25:19 webserver wpuser: wpuser@172.17.0.1 [219]: python3 beacon.py [0],Oct 24 05:25:19 webserver wpuser: wpuser@172.17.0.1 [219]: python3 beacon.py [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,261",Oct 24 05:25:19 webserver wpuser: wpuser@172.17.0.1 [219]: python3 beacon.py [0],Oct 24 05:25:19 webserver wpuser: wpuser@172.17.0.1 [219]: python3 beacon.py [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 00:20:26.245",1,1,c--lBYQBgB7DB3fTQqxT,filebeat-2022.10.23,-,e153fdd3-0f24-41bf-8191-d6b0f9f44c44,e153fdd3-0f24-41bf-8191-d6b0f9f44c44,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,ls,ls,23,23,webserver,webserver,Oct,Oct,[0],[0],16:20:22,16:20:22,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[228]:,[228]:,8.0.0,8.0.0,Oct 23 16:20:22 webserver wpuser: wpuser@172.17.0.1 [228]: ls [0],Oct 23 16:20:22 webserver wpuser: wpuser@172.17.0.1 [228]: ls [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,195",Oct 23 16:20:22 webserver wpuser: wpuser@172.17.0.1 [228]: ls [0],Oct 23 16:20:22 webserver wpuser: wpuser@172.17.0.1 [228]: ls [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
"Oct 24, 2022 @ 00:19:51.242",1,1,A--kBYQBgB7DB3fTuTCW,filebeat-2022.10.23,-,e153fdd3-0f24-41bf-8191-d6b0f9f44c44,e153fdd3-0f24-41bf-8191-d6b0f9f44c44,d6edde54-4509-4d1d-a7e2-e05020d19430,d6edde54-4509-4d1d-a7e2-e05020d19430,webserver,webserver,filebeat,filebeat,8.4.3,8.4.3,cat,cat,23,23,webserver,webserver,Oct,Oct,wordpress_2022-10-23-02.sql [0],wordpress_2022-10-23-02.sql [0],16:19:51,16:19:51,wpuser:,wpuser@172.17.0.1,wpuser@172.17.0.1,wpuser:,[228]:,[228]:,8.0.0,8.0.0,Oct 23 16:19:51 webserver wpuser: wpuser@172.17.0.1 [228]: cat wordpress_2022-10-23-02.sql [0],Oct 23 16:19:51 webserver wpuser: wpuser@172.17.0.1 [228]: cat wordpress_2022-10-23-02.sql [0],x86_64,x86_64,TRUE,webserver,webserver,d3fb359aed104056a72e8b72cacbeedd,d3fb359aed104056a72e8b72cacbeedd,"172.17.0.4, 10.0.0.20","172.17.0.4, 10.0.0.20","02:42:0a:00:00:14, 02:42:ac:11:00:04","02:42:0a:00:00:14, 02:42:ac:11:00:04",webserver,webserver,bullseye,bullseye,debian,debian,5.10.16.3-microsoft-standard-WSL2,5.10.16.3-microsoft-standard-WSL2,Debian GNU/Linux,Debian GNU/Linux,debian,debian,linux,linux,11 (bullseye),11 (bullseye),log,log,/var/log/commands.log,/var/log/commands.log,"9,100",Oct 23 16:19:51 webserver wpuser: wpuser@172.17.0.1 [228]: cat wordpress_2022-10-23-02.sql [0],Oct 23 16:19:51 webserver wpuser: wpuser@172.17.0.1 [228]: cat wordpress_2022-10-23-02.sql [0],beats_input_codec_plain_applied,beats_input_codec_plain_applied
